zipcode,state,total_population,total_properties,fema_properties_at_risk_2020_total,fema_properties_at_risk_2020_pct,fs_properties_at_risk_2020_total,fs_properties_at_risk_2020_pct,fs_properties_at_risk_2035_total,fs_properties_at_risk_2035_pct,fs_properties_at_risk_2050_total,fs_properties_at_risk_2050_pct,fs_fema_difference_2020_total,fs_fema_difference_2020_pct,gisjoin,year,name_e,white_pop,black_pop,white_pct,black_pct
60636,il,32203,15931,0,0,3550,22.3,3625,22.8,3700,23.2,3550,Inf,G60636,2014-2018,ZCTA5 60636,1276,28954,3.962363754929665,89.91087786852157
77465,tx,7001,10079,2040,20.2,5585,55.4,6411,63.6,7237,71.8,3545,173.8,G77465,2014-2018,ZCTA5 77465,5607,204,80.08855877731753,2.9138694472218254
77578,tx,20310,11572,1715,14.8,5249,45.4,5290,45.7,5331,46.1,3534,206.1,G77578,2014-2018,ZCTA5 77578,12127,4594,59.7095027080256,22.619399310684393
65037,mo,4465,9105,818,9,4351,47.8,4360,47.9,4368,48,3533,431.9,G65037,2014-2018,ZCTA5 65037,4303,45,96.37178051511758,1.007838745800672
97701,or,68204,32595,76,0.2,3599,11,3660,11.2,3720,11.4,3523,4635.5,G97701,2014-2018,ZCTA5 97701,63499,422,93.10157762008093,0.6187320391765879
28906,nc,19401,25799,580,2.2,4085,15.8,4115,16,4145,16.1,3505,604.3,G28906,2014-2018,ZCTA5 28906,18081,326,93.19622699860832,1.680325756404309
92592,ca,84418,27821,617,2.2,4108,14.8,4105,14.8,4102,14.7,3491,565.8,G92592,2014-2018,ZCTA5 92592,58915,3814,69.78961832784478,4.517993792793006
34983,fl,42737,21424,87,0.4,3551,16.6,3856,18,4162,19.4,3464,3981.6,G34983,2014-2018,ZCTA5 34983,32969,7041,77.14392680815219,16.475185436507008
95336,ca,47612,15281,100,0.7,3564,23.3,3676,24.1,3789,24.8,3464,3464,G95336,2014-2018,ZCTA5 95336,34542,1733,72.54893724271192,3.639838696127027
45638,oh,21715,17690,1509,8.5,4918,27.8,5048,28.5,5178,29.3,3409,225.9,G45638,2014-2018,ZCTA5 45638,20517,602,94.4830762145982,2.772277227722772
33629,fl,25999,10617,3056,28.8,6459,60.8,8018,75.5,9577,90.2,3403,111.4,G33629,2014-2018,ZCTA5 33629,23804,380,91.5573675910612,1.4615946767183354
45662,oh,30289,20375,903,4.4,4304,21.1,4445,21.8,4586,22.5,3401,376.6,G45662,2014-2018,ZCTA5 45662,27947,1187,92.26782000066031,3.9189144573937735
90706,ca,77529,11882,12,0.1,3410,28.7,3498,29.4,3585,30.2,3398,28316.7,G90706,2014-2018,ZCTA5 90706,24688,9801,31.843568213184742,12.641721162403746
96001,ca,34571,16065,624,3.9,3997,24.9,4108,25.6,4220,26.3,3373,540.5,G96001,2014-2018,ZCTA5 96001,30389,400,87.90315582424576,1.157039136848804
60623,il,85979,17441,5,0,3377,19.4,3434,19.7,3491,20,3372,67440,G60623,2014-2018,ZCTA5 60623,33003,26854,38.38495446562533,31.233208108956838
93727,ca,82920,20976,83,0.4,3450,16.4,3484,16.6,3517,16.8,3367,4056.6,G93727,2014-2018,ZCTA5 93727,42995,4486,51.851181862035695,5.410033767486734
83221,id,27089,14860,1137,7.7,4499,30.3,4611,31,4723,31.8,3362,295.7,G83221,2014-2018,ZCTA5 83221,23017,122,84.96806821957252,0.45036730776329875
24354,va,14334,17250,648,3.8,4001,23.2,4034,23.4,4068,23.6,3353,517.4,G24354,2014-2018,ZCTA5 24354,13557,585,94.57932189200503,4.081205525324403
34293,fl,37969,24908,3631,14.6,6980,28,8635,34.7,10290,41.3,3349,92.2,G34293,2014-2018,ZCTA5 34293,36326,307,95.67278569359215,0.8085543469672628
91402,ca,70686,6899,19,0.3,3343,48.5,3388,49.1,3434,49.8,3324,17494.7,G91402,2014-2018,ZCTA5 91402,28184,2471,39.87211046034575,3.4957417310358485
37920,tn,40920,19335,220,1.1,3532,18.3,3555,18.4,3578,18.5,3312,1505.5,G37920,2014-2018,ZCTA5 37920,36341,2909,88.80987292277615,7.1089931573802545
26101,wv,30158,19184,1267,6.6,4574,23.8,4630,24.1,4685,24.4,3307,261,G26101,2014-2018,ZCTA5 26101,28498,732,94.49565621062405,2.427216658929637
14850,ny,64484,17845,251,1.4,3546,19.9,3556,19.9,3567,20,3295,1312.7,G14850,2014-2018,ZCTA5 14850,47627,3112,73.85863159853606,4.8260033496681345
